DEBT,NETWORTH,HOUSES,NFIN,ASSET
0.0,870.0,0.0,0.0,870.0
0.0,870.0,0.0,0.0,870.0
0.0,870.0,0.0,0.0,870.0
0.0,870.0,0.0,0.0,870.0
2250.0,57920.0,54000.0,60100.0,60170.0
2250.0,58020.0,54000.0,60200.0,60270.0
2250.0,58020.0,54000.0,60200.0,60270.0
2250.0,57920.0,54000.0,60100.0,60170.0
2250.0,58020.0,54000.0,60200.0,60270.0
93000.0,1338541.0,159000.0,498641.0,1431541.0
95000.0,1136541.0,159000.0,498641.0,1231541.0
96000.0,1234541.0,159000.0,498641.0,1330541.0
95000.0,1336541.0,159000.0,498641.0,1431541.0
94000.0,1338541.0,159000.0,499641.0,1432541.0
175790.0,79980.0,175000.0,202200.0,255770.0
175780.0,79800.0,175000.0,202100.0,255580.0
175720.0,80710.0,175000.0,203100.0,256430.0
175730.0,82470.0,175000.0,203100.0,258200.0
175750.0,79560.0,175000.0,202100.0,255310.0
15490.0,-189.0,0.0,14100.0,15301.0
15490.0,-289.0,0.0,14000.0,15201.0
15490.0,-189.0,0.0,14100.0,15301.0
16490.0,-1289.0,0.0,14000.0,15201.0
15490.0,-289.0,0.0,14000.0,15201.0
1400.0,54780.0,0.0,0.0,56180.0
1400.0,54650.0,0.0,0.0,56050.0
1400.0,54620.0,0.0,0.0,56020.0
1400.0,54615.0,0.0,0.0,56015.0
1400.0,54640.0,0.0,0.0,56040.0
650.0,40950.0,0.0,22800.0,41600.0
650.0,60150.0,0.0,42000.0,60800.0
650.0,43350.0,0.0,25200.0,44000.0
650.0,46150.0,0.0,28000.0,46800.0
650.0,46750.0,0.0,28600.0,47400.0
449270.0,22770.0,420000.0,439200.0,472040.0
449270.0,21670.0,420000.0,438100.0,470940.0
449270.0,22670.0,420000.0,439100.0,471940.0
449270.0,21670.0,420000.0,438100.0,470940.0
448270.0,23770.0,420000.0,439200.0,472040.0
20980.0,78620.0,86000.0,91900.0,99600.0
19200.0,70400.0,76000.0,81900.0,89600.0
19680.0,78920.0,85000.0,90900.0,98600.0
19620.0,93980.0,100000.0,105900.0,113600.0
